,coordinates,label
0,"-73.47935661,45.6677507","-0.4866666666666666
"
1,"-0.13608912,51.50413561","0.031818181818181815
"
2,"-0.33986,51.54927","0.01785714285714286
"
3,"-117.228,33.9431","0.2
"
4,"151.20797,-33.86751","-0.15357142857142858
"
5,"-2.18091488,53.00778835","0
"
6,"80.3269,26.4421","0
"
7,"-122.419,37.7793","-0.21666666666666667
"
8,"-85,50","-0.05
"
9,"-3.37723541,51.49539123","0
"
10,"0.52550292,51.6028586","0
"
11,"3.39583,6.45306","0.15151515151515152
"
12,"12.5561399,55.672","-0.12732426303854877
"
13,"-73.56726563,45.63697547","0.03333333333333335
"
14,"-0.77620348,53.39360565","-0.125
"
15,"124.831944,1.4593804","0
"
16,"-97.73549055,30.26585335","0.128125
"
17,"-121.4947,38.577","0.4000000000000001
"
18,"-73.78297163,40.7127028","0
"
19,"9.00847,50.06552","0.32
"
20,"-82.6794,27.7706","-0.012499999999999997
"
21,"-105.28117444,40.02597423","0
"
22,"77.59295833,12.03075833","0
"
23,"11.25,43.7833","0
"
24,"81,7","0.5416666666666666
"
25,"35.89897363,-6.39046719","0.4
"
26,"-1.28948809,52.88314014","0
"
27,"-79.7164011,43.7742911","0
"
28,"36.8219462,-1.2920659","0
"
29,"3.41778,6.44213","0.8
"
30,"8.57,53.55","0
"
31,"-0.13608912,51.50413561","-0.3
"
32,"28.06045532,-26.21659308","0
"
33,"33.7767,-13.9503","0.6148148148148148
"
34,"-118.2445,34.0564","-0.09999999999999999
"
35,"36.8167,-1.28333","0.8
"
36,"-117.297,33.122","-0.10761904761904764
"
37,"77.17969764,28.52158929","0.3181818181818182
"
38,"11.10659,59.28324","0.01022727272727271
"
39,"-115.26506647,36.16945545","-0.275
"
40,"-0.1094,51.5141","0
"
41,"-0.77618598,53.39361775","-0.125
"
42,"145.01208,-37.84792","0.3333333333333333
"
43,"-79.3872,43.648","0.125
"
44,"-73.71581,40.85683","0.31397306397306396
"
45,"-84.3889,33.7566","0.13636363636363635
"
46,"-79.2667,43.8667","0.6166666666666667
"
47,"-118.35283756,33.79715913","0.1
"
48,"104.16412354,2.82864513","0
"
49,"-73.56726563,45.63697547","0.14166666666666666
"
50,"122.1572,-0.9416","0
"
51,"-0.77619829,53.39363133","0
"
52,"77,21","-0.8
"
53,"-73.56725453,45.75975883","0
"
54,"-6.28034668,53.36853317","0.5
"
55,"72.8764,19.0627","0.4340909090909091
"
56,"-73.91345039,40.75756261","-0.6
"
57,"18.4667,-34.0167","0
"
58,"6.76290035,51.2795282","-0.125
"
59,"-90.6769,35.83235","0.28750000000000003
"
60,"121.0443,14.5789","0.8
"
61,"72.83,21.17","0.11363636363636363
"
62,"77.3208,28.3922","0.16666666666666666
"
63,"153.028,-27.4678","-0.05
"
64,"-0.1094,51.5141","0
"
65,"-118.2445,34.0564","-0.07142857142857142
"
66,"21.008333,52.232222","0.13636363636363635
"
67,"2.3422747,48.8475897","0
"
68,"3.4172222,6.43685","0.3472222222222222
"
69,"-121.4947,38.577","0.4000000000000001
"
70,"-81.83273956,38.03078171","0.75
"
71,"-0.1099,51.3727","0.13636363636363635
"
72,"-122.49590779,37.74711729","0.5
"
73,"145.68976784,-16.83843449","0.17321428571428574
"
74,"-106.489,31.7658","-0.5428571428571428
"
75,"77.31974,28.58052","-0.0625
"
76,"5.6226,6.3324","0
"
77,"-157.82513447,21.27905124","0
"
78,"101.64736,3.16528","0.03333333333333333
"
79,"73.2,22.3","0.13636363636363635
"
80,"120.40897785,15.64799889","0.35
"
81,"-122.0791,37.3935","0
"
82,"3.3696059,6.6127409","0.525
"
83,"-87.632496,41.883222","-0.6
"
84,"-122.675,45.5236111","0
"
85,"72.8764,19.0627","0.2857142857142857
"
86,"-122.38769,37.75026","0
"
87,"-122.19774221,37.728013","0.5499999999999999
"
88,"139.69153906,35.7021841","-0.2
"
89,"100.494,13.7522","0.17
"
90,"106.89447176,-6.11613985","0
"
91,"28.06045532,-26.21659308","0.2916666666666667
"
92,"-73.91078056,40.66065278","0
"
93,"125.62217915,7.07231181","0
"
94,"78.401,17.4904","0
"
95,"-78.7834,35.7872","0
"
96,"78.5005327,17.57305505","0
"
97,"7.38030249,9.11041164","0
"
98,"3.51962,6.66163966","-0.025
"
99,"-0.7761912,53.39362057","0.1375
"
100,"77.597645,12.971117","0.5
"
101,"75.8167,26.9167","-0.01944444444444446
"
102,"72.8764,19.0627","0
"
103,"3.39583,6.45306","0.3333333333333333
"
104,"3.353925,6.60424676","0.14727272727272728
"
105,"116.8478,-1.2468","0
"
106,"-2.8810099,53.2019857","0.16
"
107,"-0.3412546,51.5040109","-0.09375
"
