,word,positive,negative
0,rt,4890,2001
1,corona,3615,1481
2,"",0,0
3,to,1857,768
4,the,1687,683
5,this,2097,906
6,and,1619,686
7,is,1576,636
8,we,1172,488
9,a,1371,581
10,that,1137,458
11,of,1179,529
12,i,1080,457
13,in,1076,428
14,virus,1185,479
15,have,1087,433
16,it,855,359
17,you,676,250
18,with,712,292
19,day,699,289
20,for,595,254
21,are,499,200
22,shit,569,263
23,out,555,229
24,millennials,289,107
25,on,472,200
26,our,486,226
27,were,497,199
28,from,462,214
29,when,452,208
30,he,434,184
31,because,453,183
32,my,396,149
33,other,443,184
34,just,403,179
35,going,429,185
36,not,380,158
37,5:,424,168
38,farming,422,168
39,rediscovered,422,168
40,@makedamorrison:,422,168
41,like,400,166
42,again,216,90
43,me,349,158
44,chinese,411,148
45,tell,387,164
46,kids,374,160
47,up,375,137
48,each,362,156
49,everyone,324,154
50,passes,357,153
51,survived,359,152
52,promise,359,152
53,zombie,359,152
54,apoc,355,151
55,@_dillionnn:,355,151
56,be,310,119
57,crossed,351,131
58,want,343,131
59,get,278,111
60,@realdonaldtrump,321,132
61,notes,298,117
62,so,253,143
63,love,319,122
64,at,280,117
65,can,231,105
66,calling,304,118
67,name,307,113
68,was,221,92
69,under,298,112
70,if,281,114
71,everybody,289,109
72,generation,290,110
73,folks,286,110
74,z,290,107
75,all,249,107
76,people,244,106
77,stop,275,128
78,your,240,102
79,40,283,104
80,president,263,106
81,@candicebenbow:,281,104
82,replaced,263,98
83,close,266,97
84,as,239,109
85,where,265,101
86,its,234,99
87,coronavirus,215,88
88,but,236,101
89,what,203,89
90,could,232,103
91,seen,222,87
92,his,212,80
93,sick,218,90
94,please,192,68
95,@jabinbotsford:,204,80
96,will,175,70
97,fat,95,44
98,sunday,192,80
99,has,185,71
100,im,214,77
101,every,194,93
102,they,163,74
103,why,187,73
104,off,187,78
105,about,164,75
106,feels,186,78
107,piss,188,86
108,mans,187,85
109,3:,182,76
110,@biancaixvi:,182,76
111,@biondiewasabi:,187,85
112,person,171,87
113,video,170,87
114,how,175,78
115,hate,161,79
