,word,frequency
0,rt,69506.0
1,corona,52377.0
2,"",39691.0
3,to,35903.0
4,the,35249.0
5,this,30999.0
6,and,26026.0
7,is,25324.0
8,we,23448.0
9,a,22430.0
10,that,22415.0
11,of,19746.0
12,i,18518.0
13,in,16582.0
14,virus,16431.0
15,have,15377.0
16,it,13313.0
17,you,12492.0
18,with,10212.0
19,day,9819.0
20,for,9173.0
21,are,8260.0
22,shit,8134.0
23,out,8008.0
24,millennials,7701.0
25,on,7675.0
26,our,7554.0
27,were,6873.0
28,from,6816.0
29,when,6804.0
30,he,6513.0
31,because,6430.0
32,my,6411.0
33,other,6306.0
34,just,6294.0
35,going,6118.0
36,not,5909.0
37,5:,5892.0
38,farming,5891.0
39,rediscovered,5882.0
40,@makedamorrison:,5881.0
41,like,5878.0
42,again,5550.0
43,me,5547.0
44,chinese,5511.0
45,tell,5423.0
46,kids,5357.0
47,up,5171.0
48,each,5148.0
49,everyone,5061.0
50,passes,5053.0
51,survived,5042.0
52,promise,5030.0
53,zombie,5029.0
54,apoc,5005.0
55,@_dillionnn:,5005.0
56,be,4856.0
57,crossed,4804.0
58,want,4799.0
59,get,4651.0
60,@realdonaldtrump,4471.0
61,notes,4366.0
62,so,4318.0
63,love,4302.0
64,at,4281.0
65,can,4137.0
66,calling,4108.0
67,name,4104.0
68,was,4089.0
69,under,4043.0
70,if,3972.0
71,everybody,3957.0
72,generation,3951.0
73,folks,3909.0
74,z,3906.0
75,all,3864.0
76,people,3862.0
77,stop,3843.0
78,your,3835.0
79,40,3818.0
80,president,3787.0
81,@candicebenbow:,3787.0
82,replaced,3725.0
83,close,3720.0
84,as,3708.0
85,where,3661.0
86,its,3408.0
87,coronavirus,3213.0
88,but,3188.0
89,what,3187.0
90,could,3150.0
91,seen,3130.0
92,his,3098.0
93,sick,3072.0
94,please,2957.0
95,@jabinbotsford:,2926.0
96,will,2862.0
97,fat,2788.0
98,sunday,2777.0
99,has,2754.0
100,im,2746.0
101,every,2732.0
102,they,2706.0
103,why,2662.0
104,off,2653.0
105,about,2606.0
106,feels,2595.0
107,piss,2585.0
108,mans,2566.0
109,3:,2556.0
110,@biancaixvi:,2555.0
111,@biondiewasabi:,2550.0
112,person,2548.0
113,video,2517.0
114,how,2454.0
115,hate,2413.0
116,racist,2372.0
117,no,2358.0
118,looks,2165.0
119,or,2158.0
120,nasty,2150.0
121,2,2149.0
122,now,2136.0
123,shows,2112.0
124,pandemic,2083.0
125,there,2075.0
126,holy,2027.0
127,fucking,2021.0
128,trump,2007.0
129,@goodbeanaltalt:,1979.0
130,@nicolebyer:,1977.0
131,by,1961.0
132,weeks,1927.0
133,us,1924.0
134,home,1904.0
135,time,1871.0
136,an,1757.0
137,white,1753.0
138,who,1744.0
139,stay,1725.0
140,one,1685.0
141,big,1662.0
142,than,1650.0
143,more,1641.0
144,bitch,1613.0
145,do,1584.0
146,global,1566.0
147,took,1523.0
148,their,1521.0
149,fuck,1480.0
150,-,1470.0
151,these,1445.0
152,go,1433.0
153,trump's,1416.0
154,new,1400.0
155,then,1396.0
156,got,1389.0
157,schedule,1387.0
158,dont,1385.0
159,over,1378.0
160,strain,1378.0
161,smelling,1374.0
162,motherfuckin,1369.0
163,@toriarenee_:,1366.0
164,tri,1366.0
165,@stout97_:,1353.0
166,hamstring,1353.0
167,been,1340.0
168,help,1325.0
169,let,1304.0
170,know,1299.0
171,first,1266.0
172,today,1246.0
173,briefing,1218.0
174,china,1218.0
175,even,1216.0
176,god,1206.0
177,still,1172.0
178,it's,1167.0
179,make,1152.0
180,i'm,1152.0
181,them,1146.0
182,flu,1131.0
183,photo,1116.0
184,things,1106.0
185,coming,1100.0
186,tired,1093.0
187,trying,1067.0
188,asshole,1060.0
189,down,1060.0
190,work,1060.0
191,some,1057.0
192,racism,1055.0
193,said,1053.0
194,had,1046.0
195,any,1045.0
196,those,1042.0
197,really,1033.0
198,here,1031.0
199,went,1027.0
200,@mabin2_:,1025.0
